unitid,institution name,year,Fac_Total,Fac_AmerIn_AlaNative,FacPer_AmerIn_AlaNative,Fac_Asian,FacPer_Asian,Fac_AfrAmer,FacPer_AfrAmer,Fac_Hispanic,FacPer_Hispanic,Fac_NativeHai_PI,FacPer_NativeHai_PI,Fac_White,FacPer_White,Fac_Two_or_More,FacPer_Two_or_More,Fac_BiPOC,FacPer_BiPOC
234827,Central Washington University,2013,453,1,0.002207506,4,0.008830022,2,0.004415011,2,0.004415011,0,0,54,0.119205298,1,0.002207506,10,0.022075055
234915,City University of Seattle,2013,27,0,0,3,0.111111111,0,0,0,0,0,0,23,0.851851852,0,0,3,0.111111111
235024,Cornish College of the Arts,2013,56,0,0,1,0.017857143,4,0.071428571,1,0.017857143,0,0,47,0.839285714,1,0.017857143,7,0.125
235097,Eastern Washington University,2013,459,5,0.010893246,27,0.058823529,10,0.021786492,15,0.032679739,2,0.004357298,391,0.851851852,0,0,59,0.128540305
235167,The Evergreen State College,2013,166,6,0.036144578,16,0.096385542,9,0.054216867,10,0.060240964,0,0,122,0.734939759,1,0.006024096,42,0.253012048
235316,Gonzaga University,2013,417,2,0.004796163,26,0.06235012,4,0.009592326,14,0.033573141,0,0,355,0.851318945,3,0.007194245,49,0.117505995
235422,Heritage University,2013,60,7,0.116666667,0,0,2,0.033333333,10,0.166666667,1,0.016666667,39,0.65,1,0.016666667,21,0.35
235547,Bastyr University,2013,44,0,0,8,0.181818182,0,0,1,0.022727273,0,0,34,0.772727273,1,0.022727273,10,0.227272727
236133,Northwest University,2013,57,0,0,3,0.052631579,1,0.01754386,1,0.01754386,0,0,52,0.912280702,0,0,5,0.087719298
236230,Pacific Lutheran University,2013,228,1,0.004385965,14,0.061403509,1,0.004385965,12,0.052631579,0,0,195,0.855263158,3,0.013157895,31,0.135964912
236328,University of Puget Sound,2013,240,0,0,5,0.020833333,3,0.0125,8,0.033333333,0,0,187,0.779166667,3,0.0125,19,0.079166667
236452,Saint Martin's University,2013,78,1,0.012820513,6,0.076923077,2,0.025641026,1,0.012820513,0,0,68,0.871794872,0,0,10,0.128205128
236577,Seattle Pacific University,2013,206,0,0,13,0.063106796,6,0.029126214,4,0.019417476,0,0,179,0.868932039,3,0.014563107,26,0.126213592
236595,Seattle University,2013,508,2,0.003937008,46,0.090551181,14,0.027559055,27,0.053149606,0,0,302,0.594488189,1,0.001968504,90,0.177165354
236896,Walla Walla University,2013,113,0,0,2,0.017699115,1,0.008849558,3,0.026548673,0,0,34,0.300884956,0,0,6,0.053097345
236939,Washington State University,2013,1242,3,0.002415459,100,0.080515298,12,0.009661836,47,0.03784219,5,0.004025765,776,0.624798712,18,0.014492754,185,0.148953301
236948,University of Washington-Seattle Campus,2013,3538,13,0.003674392,450,0.127190503,57,0.016110797,141,0.039853024,2,0.000565291,2405,0.679762578,47,0.013284341,710,0.200678349
237011,Western Washington University,2013,535,8,0.014953271,27,0.05046729,6,0.011214953,17,0.031775701,1,0.001869159,432,0.807476636,9,0.01682243,68,0.127102804
237057,Whitman College,2013,174,2,0.011494253,15,0.086206897,3,0.017241379,1,0.005747126,1,0.005747126,152,0.873563218,0,0,22,0.126436782
237066,Whitworth University,2013,177,0,0,5,0.028248588,1,0.005649718,11,0.062146893,0,0,159,0.898305085,0,0,17,0.096045198
377555,University of Washington-Bothell Campus,2013,175,1,0.005714286,19,0.108571429,8,0.045714286,11,0.062857143,0,0,108,0.617142857,2,0.011428571,41,0.234285714
377564,University of Washington-Tacoma Campus,2013,185,0,0,13,0.07027027,7,0.037837838,7,0.037837838,1,0.005405405,110,0.594594595,3,0.016216216,31,0.167567568
380377,Northwest Indian College,2013,25,12,0.48,0,0,0,0,0,0,1,0.04,12,0.48,0,0,13,0.52
234827,Central Washington University,2014,442,3,0.00678733,20,0.045248869,11,0.024886878,16,0.036199095,4,0.009049774,323,0.730769231,0,0,54,0.122171946
234915,City University of Seattle,2014,33,0,0,4,0.121212121,0,0,0,0,0,0,28,0.848484848,0,0,4,0.121212121
235024,Cornish College of the Arts,2014,63,0,0,3,0.047619048,4,0.063492063,0,0,0,0,50,0.793650794,2,0.031746032,9,0.142857143
235097,Eastern Washington University,2014,477,7,0.014675052,30,0.062893082,11,0.023060797,18,0.037735849,1,0.002096436,395,0.828092243,1,0.002096436,68,0.142557652
235167,The Evergreen State College,2014,160,8,0.05,13,0.08125,9,0.05625,9,0.05625,0,0,114,0.7125,1,0.00625,40,0.25
235422,Heritage University,2014,74,8,0.108108108,1,0.013513514,3,0.040540541,8,0.108108108,1,0.013513514,52,0.702702703,1,0.013513514,22,0.297297297
236230,Pacific Lutheran University,2014,228,1,0.004385965,13,0.057017544,0,0,12,0.052631579,0,0,197,0.864035088,3,0.013157895,29,0.127192982
236328,University of Puget Sound,2014,244,0,0,9,0.036885246,3,0.012295082,9,0.036885246,0,0,184,0.754098361,3,0.012295082,24,0.098360656
236577,Seattle Pacific University,2014,205,0,0,12,0.058536585,7,0.034146341,6,0.029268293,0,0,176,0.858536585,3,0.014634146,28,0.136585366
236595,Seattle University,2014,500,2,0.004,50,0.1,11,0.022,24,0.048,1,0.002,301,0.602,1,0.002,89,0.178
236939,Washington State University,2014,1317,4,0.003037206,106,0.080485953,11,0.008352316,48,0.036446469,5,0.003796507,762,0.578587699,15,0.011389522,189,0.143507973
236948,University of Washington-Seattle Campus,2014,3598,19,0.005280712,308,0.085603113,50,0.013896609,107,0.029738744,2,0.000555864,2260,0.628126737,51,0.014174541,537,0.149249583
237011,Western Washington University,2014,570,8,0.014035088,28,0.049122807,7,0.012280702,19,0.033333333,1,0.001754386,450,0.789473684,12,0.021052632,75,0.131578947
377555,University of Washington-Bothell Campus,2014,187,1,0.005347594,10,0.053475936,5,0.026737968,9,0.048128342,0,0,107,0.572192513,3,0.016042781,28,0.14973262
377564,University of Washington-Tacoma Campus,2014,214,2,0.009345794,10,0.046728972,7,0.03271028,14,0.065420561,1,0.004672897,134,0.626168224,3,0.014018692,37,0.172897196
380377,Northwest Indian College,2014,25,11,0.44,0,0,0,0,0,0,1,0.04,13,0.52,0,0,12,0.48
234827,Central Washington University,2016,467,2,0.004282655,20,0.042826552,10,0.021413276,18,0.038543897,4,0.00856531,311,0.665952891,1,0.002141328,55,0.117773019
234915,City University of Seattle,2016,27,0,0,3,0.111111111,2,0.074074074,0,0,0,0,22,0.814814815,0,0,5,0.185185185
235024,Cornish College of the Arts,2016,51,0,0,2,0.039215686,3,0.058823529,1,0.019607843,0,0,43,0.843137255,0,0,6,0.117647059
235097,Eastern Washington University,2016,470,5,0.010638298,18,0.038297872,12,0.025531915,16,0.034042553,0,0,371,0.789361702,4,0.008510638,55,0.117021277
235167,The Evergreen State College,2016,163,5,0.030674847,13,0.079754601,8,0.049079755,12,0.073619632,0,0,114,0.699386503,1,0.006134969,39,0.239263804
235316,Gonzaga University,2016,443,3,0.006772009,22,0.0496614,3,0.006772009,15,0.033860045,0,0,380,0.85778781,4,0.009029345,47,0.106094808
235422,Heritage University,2016,71,7,0.098591549,1,0.014084507,3,0.042253521,7,0.098591549,1,0.014084507,51,0.718309859,1,0.014084507,20,0.281690141
235547,Bastyr University,2016,37,0,0,4,0.108108108,1,0.027027027,0,0,0,0,30,0.810810811,1,0.027027027,6,0.162162162
