institute_id,year,gr_total,gr_total_m,gr_total_w,gr_AmerInd_AlaskNtv,gr_AmerInd_AlaskNtv_m,gr_AmerInd_AlaskNtv_w,gr_Asian,gr_Asian_m,gr_Asian_w,gr_AfrAmer,gr_AfrAmer_m,gr_AfrAmer_w,gr_Hispanic,gr_Hispanic_m,gr_Hispanic_w,gr_Hi_PacIsland,gr_Hi_PacIsland_m,gr_Hi_PacIsland_w,gr_White,gr_White_m,gr_White_w,gr_2orMore,gr_2orMore_m,gr_2orMore_w,gr_unknown,gr_unknown_m,gr_unknown_w,gr_nonresAlien,gr_nonresAlien_m,co_total,co_total_m,co_total_w,co_AmerInd_AlaskNtv,co_AmerInd_AlaskNtv_m,co_AmerInd_AlaskNtv_w,co_Asian,co_Asian_m,co_Asian_w,co_AfrAmer,co_AfrAmer_m,co_AfrAmer_w,co_Hispanic,co_Hispanic_m,co_Hispanic_w,co_Hi_PacIsland,co_Hi_PacIsland_m,co_Hi_PacIsland_w,co_White,co_White_m,co_White_w,co_2orMore,co_2orMore_m,co_2orMore_w,co_unknown,co_unknown_m,co_unknown_w,co_nonresAlien,co_nonresAlien_m,hr_total,hr_total_m,hr_total_w,hr_AmerInd_AlaskNtv,hr_AmerInd_AlaskNtv_m,hr_AmerInd_AlaskNtv_w,hr_Asian,hr_Asian_m,hr_Asian_w,hr_AfrAmer,hr_AfrAmer_m,hr_AfrAmer_w,hr_Hispanic,hr_Hispanic_m,hr_Hispanic_w,hr_Hi_PacIsland,hr_Hi_PacIsland_m,hr_Hi_PacIsland_w,hr_White,hr_White_m,hr_White_w,hr_2orMore,hr_2orMore_m,hr_2orMore_w,hr_unknown,hr_unknown_m,hr_unknown_w,hr_nonresAlien,hr_nonresAlien_m,e_total,e_total_m,e_total_w,e_AmerInd_AlaskNtv,e_AmerInd_AlaskNtv_m,e_AmerInd_AlaskNtv_w,e_Asian,e_Asian_m,e_Asian_w,e_AfrAmer,e_AfrAmer_m,e_AfrAmer_w,e_Hispanic,e_Hispanic_m,e_Hispanic_w,e_Hi_PacIsland,e_Hi_PacIsland_m,e_Hi_PacIsland_w,e_White,e_White_m,e_White_w,e_2orMore,e_2orMore_m,e_2orMore_w,e_unknown,e_unknown_m,e_unknown_w,e_nonresAlien,e_nonresAlien_m
234827,2013,759.0,349.0,410.0,6.0,4.0,2.0,28.0,17.0,11.0,10.0,6.0,4.0,59.0,27.0,32.0,1.0,0.0,1.0,604.0,269.0,335.0,34.0,16.0,18.0,17.0,10.0,7.0,0.0,0.0,1479.0,705.0,774.0,12.0,6.0,6.0,50.0,31.0,19.0,29.0,18.0,11.0,115.0,45.0,70.0,3.0,2.0,1.0,1151.0,540.0,611.0,80.0,40.0,40.0,34.0,20.0,14.0,5.0,3.0,1585.0,752.0,833.0,5.0,1.0,4.0,11.0,7.0,4.0,9.0,5.0,4.0,27.0,12.0,15.0,1.0,0.0,1.0,327.0,133.0,194.0,14.0,8.0,6.0,1174.0,575.0,599.0,17.0,11.0,11287,5552,5735,57,23,34,601,315,286,308,191,117,1290,585,705,43,25,18,7271,3575,3696,600,299,301,1076,517,559,41,22
234827,2014,829.0,358.0,471.0,1.0,1.0,0.0,23.0,11.0,12.0,12.0,7.0,5.0,63.0,20.0,43.0,1.0,0.0,1.0,657.0,284.0,373.0,40.0,21.0,19.0,22.0,8.0,14.0,10.0,6.0,1552.0,761.0,791.0,8.0,4.0,4.0,38.0,21.0,17.0,28.0,20.0,8.0,123.0,51.0,72.0,7.0,4.0,3.0,1214.0,591.0,623.0,81.0,43.0,38.0,37.0,16.0,21.0,16.0,11.0,1605.0,746.0,859.0,12.0,6.0,6.0,41.0,20.0,21.0,28.0,17.0,11.0,72.0,37.0,35.0,8.0,6.0,2.0,1164.0,537.0,627.0,17.0,6.0,11.0,242.0,105.0,137.0,21.0,12.0,11799,5652,6147,65,24,41,532,251,281,365,206,159,1430,635,795,137,83,54,7327,3475,3852,710,350,360,1130,571,559,103,57
234827,2015,851.0,396.0,455.0,3.0,2.0,1.0,9.0,3.0,6.0,18.0,9.0,9.0,70.0,31.0,39.0,0.0,0.0,0.0,642.0,303.0,339.0,59.0,28.0,31.0,33.0,14.0,19.0,17.0,6.0,1646.0,822.0,824.0,10.0,7.0,3.0,32.0,14.0,18.0,48.0,28.0,20.0,128.0,66.0,62.0,2.0,2.0,0.0,1209.0,601.0,608.0,123.0,57.0,66.0,63.0,31.0,32.0,31.0,16.0,1626.0,756.0,870.0,9.0,5.0,4.0,41.0,20.0,21.0,30.0,18.0,12.0,76.0,42.0,34.0,8.0,6.0,2.0,1134.0,516.0,618.0,15.0,5.0,10.0,296.0,135.0,161.0,17.0,9.0,11993,5786,6207,92,35,57,544,269,275,409,216,193,1548,664,884,73,46,27,7102,3437,3665,732,337,395,1143,545,598,350,237
234827,2016,876.0,398.0,478.0,4.0,2.0,2.0,17.0,12.0,5.0,15.0,9.0,6.0,100.0,38.0,62.0,5.0,2.0,3.0,622.0,280.0,342.0,57.0,29.0,28.0,44.0,18.0,26.0,12.0,8.0,1659.0,829.0,830.0,10.0,6.0,4.0,43.0,29.0,14.0,42.0,26.0,16.0,181.0,77.0,104.0,11.0,6.0,5.0,1148.0,566.0,582.0,108.0,57.0,51.0,93.0,47.0,46.0,23.0,15.0,1659.0,772.0,887.0,12.0,9.0,3.0,38.0,19.0,19.0,36.0,20.0,16.0,87.0,45.0,42.0,9.0,7.0,2.0,1139.0,519.0,620.0,17.0,4.0,13.0,303.0,139.0,164.0,18.0,10.0,11971,5746,6225,76,32,44,463,215,248,438,252,186,1695,729,966,79,45,34,6778,3248,3530,759,351,408,1334,645,689,349,229
234827,2017,701.0,299.0,402.0,2.0,0.0,2.0,16.0,9.0,7.0,10.0,6.0,4.0,78.0,32.0,46.0,2.0,2.0,0.0,490.0,196.0,294.0,50.0,27.0,23.0,42.0,20.0,22.0,11.0,7.0,1360.0,636.0,724.0,5.0,2.0,3.0,39.0,22.0,17.0,37.0,21.0,16.0,153.0,71.0,82.0,7.0,6.0,1.0,912.0,402.0,510.0,98.0,51.0,47.0,86.0,44.0,42.0,23.0,17.0,1647.0,760.0,887.0,10.0,6.0,4.0,40.0,17.0,23.0,32.0,17.0,15.0,94.0,53.0,41.0,8.0,6.0,2.0,1133.0,513.0,620.0,27.0,9.0,18.0,285.0,128.0,157.0,18.0,11.0,12901,6066,6835,76,36,40,504,240,264,490,286,204,2005,834,1171,94,52,42,6938,3259,3679,935,447,488,1472,669,803,387,243
234827,2018,775.0,348.0,427.0,3.0,1.0,2.0,24.0,9.0,15.0,10.0,5.0,5.0,106.0,40.0,66.0,6.0,4.0,2.0,496.0,226.0,270.0,59.0,26.0,33.0,62.0,29.0,33.0,9.0,8.0,1416.0,668.0,748.0,13.0,5.0,8.0,42.0,19.0,23.0,25.0,13.0,12.0,191.0,75.0,116.0,16.0,9.0,7.0,889.0,424.0,465.0,114.0,49.0,65.0,102.0,55.0,47.0,24.0,19.0,1666.0,753.0,913.0,8.0,6.0,2.0,51.0,24.0,27.0,30.0,17.0,13.0,60.0,30.0,30.0,5.0,4.0,1.0,1145.0,505.0,640.0,85.0,28.0,57.0,122.0,56.0,66.0,160.0,83.0,11590,5535,6055,62,21,41,450,221,229,454,254,200,1829,756,1073,103,53,50,6004,2862,3142,891,464,427,1440,679,761,357,225
234827,2019,792.0,348.0,444.0,4.0,1.0,3.0,31.0,18.0,13.0,16.0,9.0,7.0,115.0,48.0,67.0,3.0,3.0,0.0,503.0,215.0,288.0,60.0,29.0,31.0,58.0,24.0,34.0,2.0,1.0,1386.0,650.0,736.0,11.0,3.0,8.0,40.0,26.0,14.0,35.0,21.0,14.0,212.0,96.0,116.0,4.0,3.0,1.0,856.0,400.0,456.0,117.0,54.0,63.0,104.0,44.0,60.0,7.0,3.0,1659.0,738.0,921.0,12.0,8.0,4.0,45.0,23.0,22.0,29.0,15.0,14.0,132.0,56.0,76.0,6.0,5.0,1.0,1388.0,612.0,776.0,38.0,13.0,25.0,6.0,3.0,3.0,3.0,3.0,11658,5489,6169,63,25,38,512,259,253,459,257,202,1978,803,1175,109,63,46,5934,2793,3141,920,460,460,1345,618,727,338,211
234827,2020,699.0,315.0,384.0,3.0,1.0,2.0,19.0,9.0,10.0,27.0,18.0,9.0,79.0,28.0,51.0,6.0,4.0,2.0,464.0,208.0,256.0,57.0,24.0,33.0,39.0,18.0,21.0,5.0,5.0,1198.0,579.0,619.0,8.0,4.0,4.0,36.0,22.0,14.0,50.0,31.0,19.0,157.0,65.0,92.0,16.0,12.0,4.0,723.0,341.0,382.0,113.0,54.0,59.0,83.0,40.0,43.0,12.0,10.0,1543.0,664.0,879.0,10.0,6.0,4.0,35.0,16.0,19.0,23.0,11.0,12.0,128.0,55.0,73.0,4.0,4.0,0.0,1299.0,556.0,743.0,36.0,12.0,24.0,4.0,1.0,3.0,4.0,3.0,11174,5138,6036,73,36,37,526,252,274,473,239,234,1956,769,1187,108,53,55,5698,2650,3048,955,453,502,1084,525,559,301,161
234915,2015,7.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,15.0,4.0,11.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,800.0,297.0,503.0,2.0,0.0,2.0,62.0,16.0,46.0,20.0,8.0,12.0,31.0,11.0,20.0,6.0,3.0,3.0,547.0,195.0,352.0,2.0,0.0,2.0,130.0,64.0,66.0,0.0,0.0,2347,833,1514,31,14,17,305,111,194,128,47,81,148,68,80,33,17,16,788,290,498,38,10,28,469,154,315,407,122
234915,2016,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,21.0,11.0,10.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,7.0,5.0,805.0,311.0,494.0,7.0,2.0,5.0,82.0,31.0,51.0,40.0,19.0,21.0,19.0,8.0,11.0,9.0,4.0,5.0,620.0,241.0,379.0,0.0,0.0,0.0,28.0,6.0,22.0,0.0,0.0,2246,1023,1223,11,2,9,62,31,31,112,47,65,59,33,26,8,2,6,470,219,251,31,11,20,1178,501,677,315,177
