institute_id,year,gr_total,gr_AmerInd_AlaskNtv,gr_Asian,gr_AfrAmer,gr_Hispanic,gr_Hi_PacIsland,gr_White,gr_2orMore,gr_unknown,gr_nonresAlien,co_total,co_AmerInd_AlaskNtv,co_Asian,co_AfrAmer,co_Hispanic,co_Hi_PacIsland,co_White,co_2orMore,co_unknown,co_nonresAlien
102845,2010,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102845,2011,32,2.0,2.0,1.0,0.0,0.0,25.0,1.0,0.0,1.0,30.0,2.0,2.0,1.0,0.0,0.0,23.0,1.0,0.0,1.0
102845,2012,277,41.0,41.0,25.0,9.0,0.0,155.0,3.0,3.0,0.0,93.0,12.0,19.0,6.0,1.0,0.0,53.0,2.0,0.0,0.0
102845,2013,832,136.0,125.0,82.0,28.0,5.0,437.0,11.0,8.0,0.0,294.0,42.0,38.0,29.0,8.0,0.0,167.0,5.0,5.0,0.0
102845,2014,670,75.0,36.0,53.0,124.0,21.0,283.0,20.0,58.0,0.0,307.0,22.0,11.0,14.0,72.0,7.0,139.0,10.0,32.0,0.0
102845,2015,1174,96.0,51.0,65.0,320.0,40.0,418.0,30.0,153.0,1.0,545.0,28.0,26.0,28.0,175.0,12.0,229.0,7.0,40.0,0.0
102845,2016,1560,115.0,45.0,64.0,453.0,36.0,549.0,48.0,250.0,0.0,734.0,27.0,20.0,21.0,264.0,17.0,280.0,22.0,83.0,0.0
102845,2017,1794,134.0,38.0,77.0,593.0,56.0,589.0,86.0,221.0,0.0,852.0,43.0,14.0,20.0,327.0,16.0,292.0,33.0,107.0,0.0
102845,2018,1044,85.0,15.0,43.0,350.0,81.0,362.0,81.0,27.0,0.0,523.0,16.0,8.0,14.0,216.0,31.0,194.0,28.0,16.0,0.0
102845,2019,1023,80.0,74.0,79.0,228.0,5.0,450.0,77.0,30.0,0.0,445.0,17.0,22.0,14.0,122.0,2.0,221.0,32.0,15.0,0.0
102845,2020,2095,140.0,11.0,115.0,699.0,95.0,819.0,104.0,112.0,0.0,1083.0,36.0,7.0,37.0,380.0,44.0,483.0,47.0,49.0,0.0
234492,2010,390,12.0,26.0,25.0,20.0,0.0,192.0,0.0,110.0,5.0,147.0,3.0,11.0,4.0,8.0,0.0,75.0,0.0,43.0,3.0
234492,2011,423,8.0,38.0,16.0,26.0,0.0,288.0,0.0,46.0,1.0,144.0,2.0,12.0,3.0,10.0,0.0,106.0,0.0,10.0,1.0
234492,2012,301,10.0,31.0,11.0,26.0,0.0,184.0,0.0,38.0,1.0,99.0,1.0,14.0,1.0,6.0,0.0,63.0,0.0,13.0,1.0
234492,2013,322,7.0,39.0,17.0,20.0,0.0,198.0,0.0,41.0,0.0,90.0,1.0,12.0,3.0,6.0,0.0,61.0,0.0,7.0,0.0
234492,2014,349,3.0,25.0,13.0,25.0,0.0,179.0,0.0,101.0,3.0,110.0,1.0,6.0,1.0,7.0,0.0,60.0,0.0,32.0,3.0
234492,2015,320,5.0,19.0,14.0,35.0,0.0,174.0,0.0,73.0,0.0,84.0,0.0,5.0,5.0,13.0,0.0,45.0,0.0,16.0,0.0
234492,2016,289,12.0,14.0,12.0,34.0,0.0,151.0,0.0,63.0,3.0,79.0,2.0,6.0,0.0,9.0,0.0,49.0,0.0,12.0,1.0
234492,2017,205,1.0,0.0,3.0,20.0,0.0,14.0,0.0,165.0,2.0,64.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,46.0,1.0
234492,2018,201,0.0,3.0,6.0,33.0,0.0,50.0,0.0,102.0,7.0,56.0,0.0,1.0,0.0,11.0,0.0,17.0,0.0,23.0,4.0
234669,2010,338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,32.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0
234669,2011,483,5.0,54.0,28.0,25.0,0.0,299.0,0.0,49.0,23.0,140.0,2.0,19.0,2.0,5.0,0.0,93.0,0.0,13.0,6.0
234669,2012,513,2.0,70.0,18.0,26.0,0.0,337.0,0.0,59.0,1.0,142.0,0.0,19.0,4.0,3.0,0.0,98.0,0.0,17.0,1.0
234669,2013,508,7.0,96.0,35.0,26.0,0.0,311.0,0.0,33.0,0.0,122.0,3.0,23.0,4.0,6.0,0.0,79.0,0.0,7.0,0.0
234669,2014,423,5.0,73.0,20.0,30.0,0.0,275.0,5.0,15.0,0.0,110.0,1.0,28.0,2.0,6.0,0.0,70.0,2.0,1.0,0.0
234669,2015,460,4.0,96.0,34.0,31.0,0.0,254.0,11.0,28.0,2.0,109.0,2.0,35.0,5.0,4.0,0.0,52.0,1.0,9.0,1.0
234669,2016,500,2.0,104.0,35.0,34.0,1.0,270.0,9.0,42.0,3.0,132.0,2.0,29.0,7.0,8.0,0.0,76.0,3.0,7.0,0.0
234669,2017,481,2.0,112.0,30.0,37.0,3.0,263.0,7.0,25.0,2.0,116.0,0.0,38.0,2.0,7.0,1.0,62.0,2.0,3.0,1.0
234669,2018,531,5.0,99.0,39.0,71.0,2.0,252.0,31.0,32.0,0.0,152.0,1.0,40.0,5.0,22.0,0.0,64.0,5.0,15.0,0.0
234669,2019,679,8.0,130.0,38.0,96.0,4.0,334.0,37.0,31.0,1.0,181.0,2.0,47.0,2.0,21.0,0.0,89.0,10.0,9.0,1.0
234669,2020,502,4.0,75.0,39.0,76.0,7.0,230.0,40.0,27.0,4.0,172.0,0.0,27.0,7.0,14.0,2.0,92.0,15.0,13.0,2.0
234696,2016,52,0.0,1.0,1.0,3.0,0.0,43.0,0.0,4.0,0.0,22.0,0.0,0.0,0.0,3.0,0.0,17.0,0.0,2.0,0.0
234696,2017,40,1.0,1.0,3.0,6.0,0.0,25.0,0.0,4.0,0.0,22.0,0.0,1.0,1.0,4.0,0.0,15.0,0.0,1.0,0.0
