institute_id,year,e_total,e_AmerInd_AlaskNtv,e_Asian,e_AfrAmer,e_Hispanic,e_Hi_PacIsland,e_White,e_2orMore,e_unknown,e_nonresAlien,co_total,co_AmerInd_AlaskNtv,co_Asian,co_AfrAmer,co_Hispanic,co_Hi_PacIsland,co_White,co_2orMore,co_unknown,co_nonresAlien,co_total,co_AmerInd_AlaskNtv,co_Asian,co_AfrAmer,co_Hispanic,co_Hi_PacIsland,co_White,co_2orMore,co_unknown,co_nonresAlien
102845,2010,1764,121,47,111,455,40,693,19,178,100,1658.0,109.0,40.0,102.0,440.0,39.0,639.0,19.0,175.0,95.0,1658.0,109.0,40.0,102.0,440.0,39.0,639.0,19.0,175.0,95.0
102845,2011,1651,89,38,66,460,42,641,31,209,75,871.0,45.0,15.0,24.0,267.0,17.0,323.0,16.0,124.0,40.0,871.0,45.0,15.0,24.0,267.0,17.0,323.0,16.0,124.0,40.0
102845,2012,1259,67,76,62,401,19,525,64,45,0,918.0,54.0,63.0,42.0,282.0,10.0,387.0,45.0,35.0,0.0,918.0,54.0,63.0,42.0,282.0,10.0,387.0,45.0,35.0,0.0
102845,2013,2191,92,43,82,710,132,940,134,58,0,1053.0,49.0,16.0,57.0,316.0,73.0,451.0,68.0,23.0,0.0,1053.0,49.0,16.0,57.0,316.0,73.0,451.0,68.0,23.0,0.0
102845,2014,3267,132,40,198,1007,188,1430,142,130,0,437.0,34.0,3.0,25.0,156.0,25.0,158.0,16.0,20.0,0.0,437.0,34.0,3.0,25.0,156.0,25.0,158.0,16.0,20.0,0.0
102845,2015,1945,84,93,104,588,6,841,92,137,0,579.0,27.0,26.0,24.0,195.0,1.0,236.0,24.0,46.0,0.0,579.0,27.0,26.0,24.0,195.0,1.0,236.0,24.0,46.0,0.0
102845,2016,2676,246,6,162,746,151,1097,133,135,0,939.0,138.0,1.0,51.0,293.0,49.0,317.0,38.0,52.0,0.0,939.0,138.0,1.0,51.0,293.0,49.0,317.0,38.0,52.0,0.0
102845,2017,2664,334,13,148,662,143,1070,128,166,0,1025.0,140.0,3.0,64.0,264.0,63.0,373.0,43.0,75.0,0.0,1025.0,140.0,3.0,64.0,264.0,63.0,373.0,43.0,75.0,0.0
102845,2018,2853,305,7,187,706,171,1098,190,189,0,600.0,49.0,0.0,37.0,161.0,40.0,214.0,45.0,54.0,0.0,600.0,49.0,0.0,37.0,161.0,40.0,214.0,45.0,54.0,0.0
102845,2019,2474,178,6,143,531,131,880,380,225,0,535.0,28.0,1.0,26.0,126.0,28.0,167.0,94.0,65.0,0.0,535.0,28.0,1.0,26.0,126.0,28.0,167.0,94.0,65.0,0.0
102845,2020,2120,176,40,88,418,103,664,289,341,1,412.0,33.0,13.0,13.0,90.0,11.0,106.0,24.0,121.0,1.0,412.0,33.0,13.0,13.0,90.0,11.0,106.0,24.0,121.0,1.0
234492,2010,2245,34,227,101,170,0,1066,0,640,7,312.0,13.0,20.0,13.0,28.0,0.0,162.0,0.0,75.0,1.0,312.0,13.0,20.0,13.0,28.0,0.0,162.0,0.0,75.0,1.0
234492,2011,1961,11,78,46,166,0,556,0,974,130,191.0,0.0,0.0,2.0,4.0,0.0,8.0,0.0,176.0,1.0,191.0,0.0,0.0,2.0,4.0,0.0,8.0,0.0,176.0,1.0
234492,2012,1703,7,70,27,192,0,293,1,1112,1,202.0,0.0,1.0,0.0,31.0,0.0,14.0,0.0,156.0,0.0,202.0,0.0,1.0,0.0,31.0,0.0,14.0,0.0,156.0,0.0
234492,2013,1573,3,39,9,180,0,136,0,1206,0,200.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,173.0,0.0,200.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,173.0,0.0
234492,2014,1378,1,14,2,176,0,62,0,1123,0,158.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,128.0,0.0,158.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,128.0,0.0
234492,2015,1190,19,61,57,162,8,493,41,225,124,177.0,1.0,9.0,3.0,36.0,3.0,84.0,7.0,21.0,13.0,177.0,1.0,9.0,3.0,36.0,3.0,84.0,7.0,21.0,13.0
234492,2016,965,18,37,49,123,11,374,46,190,117,113.0,0.0,3.0,5.0,17.0,4.0,45.0,8.0,21.0,10.0,113.0,0.0,3.0,5.0,17.0,4.0,45.0,8.0,21.0,10.0
234492,2017,857,13,40,58,128,12,297,0,219,90,66.0,1.0,2.0,6.0,15.0,1.0,24.0,0.0,17.0,0.0,66.0,1.0,2.0,6.0,15.0,1.0,24.0,0.0,17.0,0.0
234669,2010,14675,87,2425,599,874,9,8534,266,1200,681,500.0,2.0,104.0,35.0,34.0,1.0,270.0,9.0,42.0,3.0,500.0,2.0,104.0,35.0,34.0,1.0,270.0,9.0,42.0,3.0
234669,2011,14156,87,2429,580,904,63,7819,253,1273,748,481.0,2.0,112.0,30.0,37.0,3.0,263.0,7.0,25.0,2.0,481.0,2.0,112.0,30.0,37.0,3.0,263.0,7.0,25.0,2.0
234669,2012,13484,95,2210,626,1002,50,6750,420,1567,764,531.0,5.0,99.0,39.0,71.0,2.0,252.0,31.0,32.0,0.0,531.0,5.0,99.0,39.0,71.0,2.0,252.0,31.0,32.0,0.0
234669,2013,13820,98,2337,610,1339,66,6683,512,1411,764,679.0,8.0,130.0,38.0,96.0,4.0,334.0,37.0,31.0,1.0,679.0,8.0,130.0,38.0,96.0,4.0,334.0,37.0,31.0,1.0
